,Solution,Cluster-1,Cluster-2,Cluster-3,Cluster-4,Cluster-5,Cluster-6,Cluster-7,Cluster-8,Cluster-9,Cluster-10,Cluster-11,Cluster-12
0,1-Cluster sol,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2-Cluster sol,48.5,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3-Cluster sol,34.0,45.5,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4-Cluster sol,20.0,32.5,28.499999999999996,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5-Cluster sol,20.0,10.0,19.5,27.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6-Cluster sol,19.0,22.5,16.5,19.5,12.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0
6,7-Cluster sol,11.0,17.0,16.0,19.5,16.5,10.0,10.0,0.0,0.0,0.0,0.0,0.0
7,8-Cluster sol,16.0,16.0,19.5,9.5,11.5,7.5,10.0,10.0,0.0,0.0,0.0,0.0
8,9-Cluster sol,10.5,16.0,14.499999999999998,10.0,10.0,11.5,6.5,16.0,5.0,0.0,0.0,0.0
9,10-Cluster sol,16.0,5.5,11.5,15.0,7.5,10.0,6.0,9.5,14.000000000000002,5.0,0.0,0.0
10,11-Cluster sol,14.499999999999998,10.0,6.0,14.000000000000002,16.0,5.5,11.0,4.0,5.5,8.5,5.0,0.0
11,12-Cluster sol,8.0,11.0,10.0,5.5,5.0,15.5,4.0,6.5,5.0,5.5,10.0,14.000000000000002
