,Solution,% Within-Cluster variation,% Between-Cluster variation
0,1-Cluster sol,100.0,0.0
1,2-Cluster sol,64.8976981594062,35.102301840593796
2,3-Cluster sol,49.20204102592481,50.79795897407519
3,4-Cluster sol,34.20419124612653,65.79580875387347
4,5-Cluster sol,28.04126336259472,71.95873663740528
5,6-Cluster sol,22.31138893780931,77.68861106219069
6,7-Cluster sol,19.521767939207574,80.47823206079242
7,8-Cluster sol,17.35859705950836,82.64140294049164
8,9-Cluster sol,15.549668958260602,84.4503310417394
9,10-Cluster sol,13.614198750091493,86.38580124990851
10,11-Cluster sol,11.995671320313622,88.00432867968638
11,12-Cluster sol,11.138943626425482,88.86105637357451
